CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;653;A;9;1;23470;303
58;1;656;A;9;1;23795;256
58;1;657;A;9;1;23962;272
58;1;658;A;9;1;24124;272
58;1;661;A;9;1;10941;258
58;1;662;A;9;1;25074;271
58;1;664;A;9;1;24314;267
58;1;665;A;9;1;22720;265
58;1;666;A;9;1;24382;258
58;1;667;A;9;1;24490;294
58;1;669;A;9;1;24593;256
58;1;670;A;9;1;24607;292
58;1;672;A;9;1;24771;256
58;1;674;A;9;1;24802;293
58;1;676;A;9;1;25120;262
58;1;678;A;9;1;25318;267
58;1;679;A;9;1;25520;296
58;1;681;A;9;1;25596;294
58;1;683;A;9;1;25674;262
58;1;684;A;9;1;25784;302
58;1;685;A;9;1;25752;280
58;1;686;A;9;1;25821;267
58;1;688;A;9;1;25832;258
58;1;690;A;9;1;25957;272
58;1;691;A;9;1;25966;271
58;1;692;A;9;1;25974;299
58;1;693;A;9;1;26199;258
58;1;694;A;9;1;26257;258
58;1;695;A;9;1;26317;279
58;1;696;A;9;1;26382;281
58;1;698;A;9;1;26613;285
58;1;699;A;9;1;26856;292
58;1;700;A;9;1;26882;271
58;1;702;A;9;1;27086;294
58;1;704;A;9;1;27111;271
58;1;705;A;9;1;27194;291
58;1;709;A;9;1;27376;279
58;1;710;A;9;1;27389;258
58;1;711;A;9;1;27447;262
58;1;713;A;9;1;1016;270
58;1;714;A;9;1;27513;275
58;1;718;A;9;1;27905;270
58;1;719;A;9;1;27932;258
58;1;720;A;9;1;27984;258
58;1;723;A;9;1;28139;295
58;1;726;A;9;1;28456;302
58;1;728;A;9;1;28569;274
58;1;2791;A;9;1;3228;295
58;1;2792;A;9;1;4145;302
58;1;2793;A;9;1;6816;271
58;1;2795;A;9;1;12991;262
58;1;2796;A;9;1;21532;262
58;1;2797;A;9;1;18456;262
58;1;2798;A;9;1;16550;270
58;1;2799;A;9;1;24012;302
58;1;2800;A;9;1;26694;280
58;1;3227;A;9;1;13241;285
58;1;3228;A;9;1;25162;262
58;1;3229;A;9;1;21217;296
58;1;3231;A;9;1;28269;303
58;1;3325;A;9;1;27360;285
58;1;3338;A;9;1;8626;291
58;1;14289;A;9;1;22017;268
58;1;14290;A;9;1;16864;268
58;1;14291;A;9;1;26462;268
58;1;14292;A;9;1;16108;268
58;1;45500;A;9;1;22495;271
58;1;45672;A;9;1;24168;271
58;1;58408;A;9;1;7390;274
58;1;58409;A;9;1;18870;288
58;1;58410;A;9;1;17279;274
58;1;58411;A;9;1;15454;288
58;1;58413;A;9;1;25058;278
58;1;333;A;9;2;2953;284
58;1;345;A;9;2;3778;277
58;1;350;A;9;2;4086;272
58;1;351;A;9;2;4201;287
58;1;354;A;9;2;4336;292
58;1;355;A;9;2;4393;267
58;1;356;A;9;2;4431;258
58;1;358;A;9;2;4554;259
58;1;363;A;9;2;5363;274
58;1;370;A;9;2;5496;267
58;1;374;A;9;2;5680;275
58;1;379;A;9;2;5795;258
58;1;389;A;9;2;6189;272
58;1;390;A;9;2;6319;278
58;1;391;A;9;2;6387;279
58;1;393;A;9;2;6519;279
58;1;398;A;9;2;7084;258
58;1;405;A;9;2;7282;271
58;1;408;A;9;2;7467;279
58;1;413;A;9;2;8080;262
58;1;414;A;9;2;8098;275
58;1;415;A;9;2;8092;267
58;1;417;A;9;2;8213;280
58;1;426;A;9;2;8881;292
58;1;427;A;9;2;8966;271
58;1;445;A;9;2;10269;272
58;1;447;A;9;2;10378;270
58;1;450;A;9;2;10488;272
58;1;452;A;9;2;10561;258
58;1;456;A;9;2;10943;284
58;1;459;A;9;2;10994;300
58;1;463;A;9;2;11329;272
58;1;478;A;9;2;12728;271
58;1;480;A;9;2;12991;262
58;1;482;A;9;2;13184;284
58;1;489;A;9;2;13841;262
58;1;490;A;9;2;14349;287
58;1;493;A;9;2;14027;279
58;1;500;A;9;2;14984;262
58;1;505;A;9;2;15455;288
58;1;507;A;9;2;15629;287
58;1;516;A;9;2;16099;262
58;1;519;A;9;2;16371;270
58;1;524;A;9;2;16442;262
58;1;526;A;9;2;16523;284
58;1;544;A;9;2;17594;279
58;1;547;A;9;2;17738;279
58;1;550;A;9;2;17850;292
58;1;575;A;9;2;19167;279
58;1;581;A;9;2;19455;275
58;1;584;A;9;2;19541;258
58;1;588;A;9;2;19780;258
58;1;603;A;9;2;20395;284
58;1;605;A;9;2;20482;262
58;1;608;A;9;2;20685;267
58;1;618;A;9;2;21402;279
58;1;631;A;9;2;22016;268
58;1;644;A;9;2;22620;258
58;1;655;A;9;2;23504;268
58;1;660;A;9;2;24130;279
58;1;663;A;9;2;24264;262
58;1;675;A;9;2;24913;300
58;1;677;A;9;2;24994;271
58;1;682;A;9;2;25671;262
58;1;689;A;9;2;25879;302
58;1;701;A;9;2;27021;296
58;1;703;A;9;2;27104;271
58;1;715;A;9;2;27595;275
58;1;716;A;9;2;27715;258
58;1;721;A;9;2;28017;258
58;1;722;A;9;2;28091;262
58;1;724;A;9;2;28148;279
58;1;727;A;9;2;28558;262
58;1;790;A;9;2;1504;291
58;1;801;A;9;2;1728;303
58;1;811;A;9;2;1851;299
58;1;874;A;9;2;3055;295
58;1;891;A;9;2;3228;295
58;1;991;A;9;2;4591;259
58;1;1043;A;9;2;5445;295
58;1;1157;A;9;2;6895;271
58;1;1199;A;9;2;7331;291
58;1;1243;A;9;2;7894;256
58;1;1279;A;9;2;8626;291
58;1;1532;A;9;2;11678;295
58;1;1589;A;9;2;12549;294
58;1;1640;A;9;2;13309;299
58;1;1650;A;9;2;13391;299
58;1;1655;A;9;2;13448;256
58;1;1751;A;9;2;15040;293
58;1;1902;A;9;2;16987;299
58;1;1956;A;9;2;17776;294
58;1;2003;A;9;2;18373;256
58;1;2049;A;9;2;18999;291
58;1;2111;A;9;2;20151;293
58;1;2219;A;9;2;21217;296
58;1;2267;A;9;2;21990;294
58;1;2361;A;9;2;23315;291
58;1;2381;A;9;2;23470;303
58;1;2446;A;9;2;1338;296
58;1;2483;A;9;2;24801;293
58;1;2756;A;9;2;28269;303
58;1;5290;A;9;2;16254;256
58;1;13829;A;9;2;7946;294
58;1;43937;A;9;2;5839;270
58;1;140;A;10;0;19993;433
58;1;176;A;10;0;21977;433
58;1;195;A;10;0;22998;337
58;1;196;A;10;0;6581;433
58;1;197;A;10;0;21977;397
58;1;225;A;10;0;7052;337
58;1;227;A;10;0;17968;337
58;1;235;A;10;0;16143;58410
58;1;306;A;10;0;267;305
58;1;381;A;10;0;5839;348
58;1;438;A;10;0;9525;14291
58;1;554;A;10;0;18126;14290
58;1;673;A;10;0;24785;568
