CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;8838;;52008
58;1;8840;;43419
58;1;8841;;47631
58;1;8842;;47629
58;1;8843;;38970
58;1;8844;;52109
58;1;8847;52750;39055
58;1;8848;;8849
58;1;8849;8848;43414
58;1;8850;43414;39035
58;1;8851;;39074
58;1;8852;39036;
58;1;8861;54910;
58;1;8864;;8865
58;1;8865;8864;39081
58;1;8866;;31553
58;1;8867;35192;
58;1;8868;;8869
58;1;8869;8868;8870
58;1;8870;8869;31554
58;1;8871;31554;
58;1;8872;;8873
58;1;8873;8872;8874
58;1;8874;8873;
58;1;8876;;8877
58;1;8877;8876;
58;1;8878;;8879
58;1;8879;8878;8880
58;1;8880;8879;
58;1;8883;;48323
58;1;8884;48323;
58;1;8885;;8886
58;1;8886;8885;
58;1;8892;;8893
58;1;8893;8892;55750
58;1;8894;56505;8895
58;1;8895;8894;
58;1;8897;;8898
58;1;8898;8897;8899
58;1;8899;8898;8900
58;1;8900;8899;8901
58;1;8901;8900;8902
58;1;8902;8901;8903
58;1;8903;8902;8904
58;1;8904;8903;8905
58;1;8905;8904;8906
58;1;8906;8905;8907
58;1;8907;8906;
58;1;8908;;40766
58;1;8909;40766;48446
58;1;8916;;8917
58;1;8917;8916;8918
58;1;8918;8917;8919
58;1;8919;8918;8920
58;1;8920;8919;8922
58;1;8922;8920;8923
58;1;8923;8922;8924
58;1;8924;8923;
58;1;8934;39058;8935
58;1;8935;8934;8936
58;1;8936;8935;47823
58;1;8937;47823;8938
58;1;8938;8937;
58;1;8940;;8941
58;1;8941;8940;8942
58;1;8942;8941;
58;1;8944;;8945
58;1;8945;8944;8946
58;1;8946;8945;
58;1;8947;47817;47818
58;1;8948;47818;
58;1;8949;;8950
58;1;8950;8949;8951
58;1;8951;8950;
58;1;8954;;34917
58;1;8955;34917;8956
58;1;8956;8955;8957
58;1;8957;8956;8958
58;1;8958;8957;8959
58;1;8959;8958;8961
58;1;8961;8959;8962
58;1;8962;8961;8963
58;1;8963;8962;52434
58;1;8964;52434;8965
58;1;8965;8964;8966
58;1;8966;8965;
58;1;8967;;8968
58;1;8968;8967;8969
58;1;8969;8968;39990
58;1;8971;55860;43421
58;1;8972;43421;
58;1;8974;;8975
58;1;8975;8974;39994
58;1;8976;39994;
58;1;8977;39444;8978
58;1;8978;8977;8979
58;1;8979;8978;8980
58;1;8980;8979;
58;1;8981;;39995
58;1;8983;9213;
58;1;8984;;8985
58;1;8985;8984;8986
58;1;8986;8985;
58;1;8989;;8990
58;1;8990;8989;47814
58;1;8991;47814;8992
58;1;8992;8991;39046
58;1;8993;45080;8994
58;1;8994;8993;8995
58;1;8995;8994;8996
58;1;8996;8995;8997
58;1;8997;8996;
58;1;8998;;8999
58;1;8999;8998;9000
58;1;9000;8999;9001
58;1;9001;9000;
58;1;9003;;9004
58;1;9004;9003;9005
58;1;9005;9004;9006
58;1;9006;9005;9007
58;1;9007;9006;9008
58;1;9008;9007;
58;1;9009;;9010
58;1;9010;9009;
58;1;9011;;52103
58;1;9012;;52083
58;1;9013;;9014
58;1;9014;9013;9015
58;1;9015;9014;9016
58;1;9016;9015;
58;1;9017;;9018
58;1;9018;9017;9019
58;1;9019;9018;
58;1;9020;;9021
58;1;9021;9020;
58;1;9023;;9024
58;1;9024;9023;9025
58;1;9025;9024;9026
58;1;9026;9025;9027
58;1;9027;9026;9028
58;1;9028;9027;46783
58;1;9029;46783;9030
58;1;9030;9029;53578
58;1;9031;39079;9032
58;1;9032;9031;9033
58;1;9033;9032;9034
58;1;9034;9033;34
58;1;9036;34;
58;1;9037;;9038
58;1;9038;9037;
58;1;9039;39063;9040
58;1;9040;9039;52169
58;1;9041;39064;9042
58;1;9042;9041;
58;1;9043;;9044
58;1;9044;9043;9045
58;1;9045;9044;9046
58;1;9046;9045;9047
58;1;9047;9046;9048
58;1;9048;9047;45619
58;1;9049;;43818
58;1;9050;43818;9051
58;1;9051;9050;9052
58;1;9052;9051;
58;1;9053;45621;
58;1;9054;40581;48610
58;1;9056;48610;9057
58;1;9057;9056;9058
58;1;9058;9057;9059
58;1;9059;9058;47813
58;1;9066;52416;9067
58;1;9067;9066;9068
58;1;9068;9067;9069
58;1;9069;9068;9070
58;1;9070;9069;9071
58;1;9071;9070;9072
58;1;9072;9071;38345
58;1;9074;47247;
58;1;9075;32885;9076
58;1;9076;9075;9077
58;1;9077;9076;
58;1;9078;;9079
58;1;9079;9078;9080
58;1;9080;9079;
58;1;9081;9842;
58;1;9086;;52343
58;1;9089;;9090
58;1;9090;9089;9091
58;1;9091;9090;
58;1;9092;;42548
58;1;9093;;9094
58;1;9094;9093;
58;1;9095;;51349
58;1;9100;;9101
58;1;9101;9100;
58;1;9105;;44710
58;1;9106;44710;
58;1;9107;;44713
58;1;9108;;52098
58;1;9109;;9110
58;1;9110;9109;
58;1;9111;;9112
58;1;9112;9111;
58;1;9114;;9115
58;1;9115;9114;
58;1;9117;;9118
58;1;9118;9117;
58;1;9119;;43426
58;1;9121;43427;
58;1;9127;;47616
58;1;9134;;52247
58;1;9135;;47662
58;1;9140;;9141
58;1;9141;9140;
58;1;9150;;31428
58;1;9151;;9152
58;1;9152;9151;
58;1;9157;;35088
58;1;9158;35090;9159
58;1;9159;9158;
58;1;9161;;9162
58;1;9162;9161;48356
58;1;9165;;9166
58;1;9166;9165;
58;1;9168;;9169
58;1;9169;9168;
58;1;9170;;52082
58;1;9173;;39031
58;1;9174;39032;39033
58;1;9186;31862;
58;1;9187;;9188
58;1;9188;9187;
58;1;9189;;9190
58;1;9190;9189;9191
58;1;9191;9190;31545
58;1;9203;54505;
58;1;9213;;8983
58;1;9222;;14177
58;1;9223;57845;9224
58;1;9224;9223;
58;1;9225;;31550
58;1;9237;9951;
58;1;9242;;33739
58;1;9243;9311;
58;1;9246;9326;34132
58;1;9248;;34034
58;1;9251;;34152
58;1;9261;32554;
58;1;9262;33537;
58;1;9264;;9311
58;1;9265;33539;
58;1;9267;32558;
58;1;9275;34011;
58;1;9290;;32560
58;1;9302;;32561
58;1;9311;9264;9243
58;1;9321;;32737
58;1;9326;;9246
58;1;9339;;32563
58;1;9348;;32555
58;1;9366;;32556
58;1;9372;32818;
58;1;9386;;32754
58;1;9388;;32551
58;1;9390;;9391
58;1;9391;9390;
58;1;9393;31557;
58;1;9397;;9398
58;1;9398;9397;
58;1;9400;;9401
58;1;9401;9400;9402
58;1;9402;9401;9403
58;1;9403;9402;
58;1;9405;46931;9406
58;1;9406;9405;
58;1;9407;;9408
58;1;9408;9407;
58;1;9409;;31565
58;1;9410;31566;9411
58;1;9411;9410;9412
58;1;9412;9411;9413
58;1;9413;9412;9414
58;1;9414;9413;9415
58;1;9415;9414;9416
58;1;9416;9415;
58;1;9417;31471;9418
58;1;9418;9417;32294
58;1;9419;;32074
58;1;9420;;9421
58;1;9421;9420;
58;1;9423;;9424
58;1;9424;9423;
58;1;9425;;9426
58;1;9426;9425;31569
58;1;9428;;31570
58;1;9429;;9430
58;1;9430;9429;
58;1;9431;;31571
58;1;9433;;31572
58;1;9436;35044;9437
58;1;9437;9436;9438
58;1;9438;9437;9439
58;1;9439;9438;
58;1;9440;;9441
58;1;9441;9440;9442
58;1;9442;9441;
58;1;9444;;9445
58;1;9445;9444;
58;1;9446;;9447
58;1;9447;9446;9448
58;1;9448;9447;
58;1;9449;31576;9450
58;1;9450;9449;
58;1;9451;;9452
58;1;9452;9451;
58;1;9456;;9457
58;1;9457;9456;31578
58;1;9460;;31580
58;1;9461;;9462
58;1;9462;9461;
58;1;9463;;31581
58;1;9465;;9466
58;1;9466;9465;9467
58;1;9467;9466;
58;1;9468;;9469
58;1;9469;9468;
58;1;9473;;9474
58;1;9474;9473;9475
58;1;9475;9474;
58;1;9476;;9477
58;1;9477;9476;
58;1;9478;;9479
58;1;9479;9478;
58;1;9480;;31590
58;1;9481;31590;9482
58;1;9482;9481;
58;1;9483;31592;
58;1;9484;;42375
58;1;9485;42375;
58;1;9486;;9487
58;1;9487;9486;
58;1;9494;;31593
58;1;9495;;9496
58;1;9496;9495;
58;1;9497;;9498
58;1;9498;9497;
58;1;9499;31595;
58;1;9500;;9501
58;1;9501;9500;
58;1;9502;;9503
58;1;9503;9502;
58;1;9505;33332;9506
58;1;9506;9505;9507
58;1;9507;9506;35147
58;1;9508;;9509
58;1;9509;9508;
58;1;9510;32404;9511
58;1;9511;9510;
58;1;9512;;31596
58;1;9513;;9514
58;1;9514;9513;31406
58;1;9515;;9516
58;1;9516;9515;
58;1;9518;;9519
58;1;9519;9518;36179
58;1;9520;;31603
58;1;9522;31604;31605
58;1;9525;;31606
58;1;9530;;31609
58;1;9532;;31611
58;1;9560;46721;
58;1;9565;;33342
58;1;9574;;33348
58;1;9652;;52250
58;1;9654;;47584
58;1;9655;;52249
58;1;9656;;52251
58;1;9661;;52243
58;1;9667;;9668
58;1;9668;9667;
58;1;9673;;52248
58;1;9675;;52287
58;1;9677;;52196
58;1;9680;;47594
58;1;9683;;52121
58;1;9685;;9686
58;1;9686;9685;
58;1;9691;;52213
58;1;9692;;52245
58;1;9697;;52246
58;1;9703;;38985
58;1;9707;;52268
58;1;9712;;52197
58;1;9713;;52187
58;1;9781;40764;
58;1;9830;;52350
58;1;9842;;9081
58;1;9844;;51433
58;1;9939;;45576
58;1;9951;;9237
