CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;6041;A;6;1;21520;1
58;1;6042;A;6;1;21534;275
58;1;6043;A;6;1;21638;303
58;1;6044;A;6;1;22215;260
58;1;6045;A;6;1;22488;359
58;1;6048;A;6;1;23550;263
58;1;6049;A;6;1;24126;658
58;1;6050;A;6;1;24262;303
58;1;6052;A;6;1;24512;265
58;1;6053;A;6;1;24549;291
58;1;6054;A;6;1;24623;258
58;1;6055;A;6;1;25137;263
58;1;6056;A;6;1;25369;260
58;1;6057;A;6;1;25991;686
58;1;6058;A;6;1;7868;268
58;1;6059;A;6;1;5874;262
58;1;6060;A;6;1;27386;258
58;1;6061;A;6;1;27447;1
58;1;6062;A;6;1;25369;587
58;1;6063;A;6;1;27680;365
58;1;6064;A;6;1;28217;718
58;1;6065;A;6;1;1015;713
58;1;6068;A;6;1;5457;713
58;1;6069;A;6;1;6646;262
58;1;6070;A;6;1;8098;414
58;1;6072;A;6;1;10705;2798
58;1;6074;A;6;1;11722;292
58;1;6075;A;6;1;16263;593
58;1;6076;A;6;1;17307;263
58;1;6077;A;6;1;17908;262
58;1;6080;A;6;1;17942;262
58;1;6082;A;6;1;25208;664
58;1;6083;A;6;1;12583;268
58;1;6085;A;6;1;24695;1
58;1;8062;A;6;4;18253;2219
58;1;13420;A;6;3;9093;4472
58;1;26320;A;6;4;12557;452
58;1;26322;A;6;4;17108;452
58;1;26324;A;6;4;263;452
58;1;26325;A;6;4;23704;452
58;1;26326;A;6;4;5473;452
58;1;26328;A;6;4;7943;3558
58;1;26329;A;6;4;10808;675
58;1;26330;A;6;4;1854;675
58;1;26331;A;6;4;2661;675
58;1;26332;A;6;4;3605;675
58;1;26335;A;6;4;5357;675
58;1;26336;A;6;4;5754;675
58;1;26337;A;6;4;7949;300
58;1;26338;A;6;4;8763;675
58;1;26339;A;6;4;10579;675
58;1;26340;A;6;4;10813;675
58;1;26343;A;6;4;16241;675
58;1;26344;A;6;4;16612;675
58;1;26345;A;6;4;17575;675
58;1;26348;A;6;4;22042;675
58;1;26349;A;6;4;7763;675
58;1;26350;A;6;4;22853;675
58;1;26351;A;6;4;23118;675
58;1;26353;A;6;4;25112;675
58;1;26354;A;6;4;24377;675
58;1;26355;A;6;4;15021;675
58;1;26357;A;6;4;25944;675
58;1;26358;A;6;4;25945;675
58;1;26359;A;6;4;26068;675
58;1;26360;A;6;4;26158;675
58;1;26361;A;6;4;26159;675
58;1;26363;A;6;4;26594;675
58;1;26364;A;6;4;27088;675
58;1;26365;A;6;4;27709;675
58;1;26366;A;6;4;2662;675
58;1;26367;A;6;4;28523;675
58;1;26370;A;6;4;3453;675
58;1;26372;A;6;4;5755;675
58;1;26373;A;5;2;24914;675
58;1;26374;A;6;4;19334;675
58;1;26375;A;6;4;20554;675
58;1;26379;A;6;4;18183;31939
58;1;26383;A;6;4;8019;1293
58;1;26385;A;6;4;25505;4985
58;1;26386;A;12;0;17801;1956
58;1;26387;A;12;0;17799;1956
58;1;26388;A;12;0;17810;1956
58;1;26389;A;6;4;19596;4920
58;1;26390;A;12;0;17812;1956
58;1;26391;A;6;4;25432;35430
58;1;26392;A;6;4;12557;5416
58;1;30525;A;6;1;23438;263
58;1;30987;A;6;1;19799;263
58;1;30988;A;6;1;17306;263
58;1;30989;A;6;1;18811;263
58;1;30990;A;6;1;25091;263
58;1;30991;A;6;1;19290;263
58;1;30998;A;6;1;27409;263
58;1;30999;A;6;4;17034;675
58;1;31000;A;6;4;19806;675
58;1;31139;A;12;0;3559;32817
58;1;31190;A;12;0;3580;32825
58;1;31251;A;6;3;12525;891
58;1;31450;A;6;1;15771;1803
58;1;31451;A;6;1;23104;2370
58;1;31765;A;6;4;26412;4802
58;1;31767;A;6;4;7272;31257
58;1;31771;A;6;1;17939;395
58;1;31772;A;6;4;26412;1589
58;1;31773;A;6;3;9095;1589
58;1;31775;A;6;3;9098;1589
58;1;31780;A;6;4;26412;1985
58;1;31781;A;6;4;25581;2133
58;1;31790;A;6;4;17083;42305
58;1;31791;A;6;4;8077;42305
58;1;31793;A;6;4;25501;5023
58;1;31796;A;6;4;12564;2219
58;1;31799;A;6;4;6421;4929
58;1;31802;A;6;4;25504;2483
58;1;31803;A;6;4;7771;2483
58;1;31804;A;6;4;7968;2483
