CID;LID;NID;NAME;NCOMMENT
58;1;356;Abzweig B28;
58;1;357;Abzweig B3;
58;1;358;Abzweig B45/B43a;
58;1;359;Abzweig B455;
58;1;360;Abzweig B462;
58;1;361;Abzweig B523;
58;1;362;Abzweig B6 AS Stapelburg;
58;1;363;Abzweig Bad Neuenahr;
58;1;364;Abzweig Baden-Airpark;
58;1;365;Abzweig Biesenthal-Zentrum;
58;1;366;Abzweig Birkholz;
58;1;367;Abzweig Bonn Süd;
58;1;368;Abzweig Bruchsal-Büchenau;
58;1;369;Abzweig Brunow;
58;1;370;Abzweig Bunde;
58;1;371;Abzweig Bärwinkel;
58;1;372;Abzweig Bücknitz;
58;1;373;Abzweig Darmstadt- Arheilgen Nord;
58;1;374;Abzweig Eichhorst;
58;1;375;Abzweig Elbfähre;
58;1;376;Abzweig Flein;
58;1;377;Abzweig Friedrich-Ebert-Straße;
58;1;378;Abzweig Garlitz;
58;1;379;Abzweig Garz;
58;1;380;Abzweig Gelobtland;
58;1;381;Abzweig Gemmrigheim;
58;1;382;Abzweig Germendorf;
58;1;383;Abzweig Gomadingen;
58;1;384;Abzweig Groß Drewitz;
58;1;385;Abzweig Groß Köris;
58;1;386;Abzweig Großwudicke;
58;1;387;Abzweig Hennickendorf;
58;1;388;Abzweig Hirschfelde;
58;1;389;Abzweig Hohen Neuendorf;
58;1;390;Abzweig Kienbaum;
58;1;391;Abzweig Kleinkugel;
58;1;392;Abzweig Korbach-Industriegebiet;
58;1;393;Abzweig Kuppingen;
58;1;394;Abzweig Köln-Deutz;
58;1;395;Abzweig Laasow;
58;1;396;Abzweig Landsberg;
58;1;397;Abzweig Lübeck;
58;1;398;Abzweig Milmersdorf;
58;1;399;Abzweig Niederstetten;
58;1;400;Abzweig Oberhausen;
58;1;401;Abzweig Ockstadt;
58;1;402;Abzweig Ogrosen;
58;1;403;Abzweig Oker/B498;
58;1;404;Abzweig Oker/B6;
58;1;405;Abzweig Peitzendorf;
58;1;406;Abzweig Petterweil;
58;1;407;Abzweig Reddern;
58;1;408;Abzweig Reitwein;
58;1;409;Abzweig Ritter-Brüning-Straße;
58;1;410;Abzweig Rodheim;
58;1;411;Abzweig Roggosen;
58;1;412;Abzweig Ruhlsdorf;
58;1;413;Abzweig Rägelin;
58;1;414;Abzweig S 112;
58;1;415;Abzweig S112;
58;1;416;Abzweig S242;
58;1;417;Abzweig S38;
58;1;418;Abzweig Sachsendorf;
58;1;419;Abzweig Sandhausen;
58;1;420;Abzweig Saxdorf;
58;1;421;Abzweig Schlepzig;
58;1;422;Abzweig Schmogrow;
58;1;423;Abzweig Schraden;
58;1;424;Abzweig Schumachersiedlung;
58;1;425;Abzweig Schwichtenberg/ Löwitz;
58;1;426;Abzweig Schönberg;
58;1;427;Abzweig Schöneiche;
58;1;428;Abzweig Schönerlinde;
58;1;429;Abzweig Schönewalde;
58;1;430;Abzweig Sinzig;
58;1;431;Abzweig Steckelsdorf;
58;1;432;Abzweig Steglitz;
58;1;433;Abzweig Tagebau;
58;1;434;Abzweig Trier;
58;1;435;Abzweig Veddel;
58;1;436;Abzweig Vöhrenbach/Urach;
58;1;437;Abzweig Wahrenbrück;
58;1;438;Abzweig Waldachtal;
58;1;439;Abzweig Waltenhofen;
58;1;440;Abzweig Wernitz;
58;1;441;Abzweig Woschkow;
58;1;442;Abzweig Zehlendorf;
58;1;443;Abzweig Zwintschöna;
58;1;444;Abzweig alte B27;
58;1;445;Abzweig nach Schöneck;
58;1;446;Abzweig zur B1;
58;1;447;Abzweig zur B168;
58;1;448;Abzweigung B29;
58;1;449;Abzweigung Bad Birnbach;
58;1;450;Abzweigung Dirlewang;
58;1;451;Abzweigung Geisenhausen-Gerzen;
58;1;452;Abzweigung Günzenhausen;
58;1;453;Abzweigung Massing;
58;1;454;Abzweigung Nord- / Südring;
58;1;455;Abzweigung Pfeffenhausen-Holzhausen;
58;1;456;Abzweigung Speichersdorf;
58;1;457;Abzweigung Vorderdenkental;
58;1;458;Achberg;
58;1;459;Achenbacher Straße;
58;1;460;Achenkirch;
58;1;461;Achenmühle;
58;1;462;Achenmühle ;
58;1;463;Achenpass;
58;1;464;Achern;
58;1;465;Achern Hauptstraße;
58;1;466;Achern-Fautenbach;
58;1;467;Achern-Nord;
58;1;468;Achern-Süd;
58;1;469;Achern-Wagshurst;
58;1;470;Achern-Önsbach;
58;1;471;Achillesstraße;
58;1;472;Achim;
58;1;473;Achim-Nord;
58;1;474;Achim-Ost;
58;1;475;Achimer Straße;
58;1;476;Achmühle;
58;1;477;Achstetten;
58;1;478;Achterkämpe;
58;1;479;Achtern Brack;
58;1;480;Achternmeer;
58;1;481;Achterstraße;
58;1;482;Achterwehr;
58;1;483;Achtum;
58;1;484;Achtum-Uppen;
58;1;485;Adalbertsteinweg;
58;1;486;Adalbertstraße;
58;1;487;Adam-Kuckhoff-Platz;
58;1;488;Adam-Opel-Straße;
58;1;489;Adam-Stegerwald-Straße;
58;1;490;Adamstraße;
58;1;491;Adelberg;
58;1;492;Adelbylund;
58;1;493;Adelebsen;
58;1;494;Adelheider Straße;
58;1;495;Adelheidsdorf;
58;1;496;Adelheidsdorf/Nienhagen;
58;1;497;Adelonstraße;
58;1;498;Adelsberg;
58;1;499;Adelsburg;
58;1;500;Adelschlag;
58;1;501;Adelsdorf;
58;1;502;Adelsheim;
58;1;503;Adelshofen;
58;1;504;Adelsried;
58;1;505;Adelzhausen;
58;1;506;Adelzhauser Berg;
58;1;507;Adenau;
58;1;508;Adenauer Allee;
58;1;509;Adenauer Platz;
58;1;510;Adenauer-Ufer;
58;1;511;Adenaueralle;
58;1;512;Adenauerallee;
58;1;513;Adenauerplatz;
58;1;514;Adenauerring;
58;1;515;Adenbach;
58;1;516;Adendorf;
58;1;517;Adensen;
58;1;518;Adensen/B3;
58;1;519;Adensen/K204;
58;1;520;Adensen/Schloß Marienburg;
58;1;521;Adenstedt;
58;1;522;Aderstedt;
58;1;523;Adickesallee;
58;1;524;Adlerdamm;
58;1;525;Adlergestell;
58;1;526;Adlershof;
58;1;527;Adlerstraße;
58;1;528;Adlig Reetz;
58;1;529;Adlkofen;
58;1;530;Adolf-Braun-Straße;
58;1;531;Adolf-Miersch-Straße;
58;1;532;Adolf-Reichwein-Straße;
58;1;533;Adolf-Scheidt-Platz;
58;1;534;Adolf-Schmetzer-Straße;
58;1;535;Adolph-Schönfelder-Straße;
58;1;536;Adorf;
58;1;537;Adorf/Vogtl.;
58;1;538;Aebtissinwisch;
58;1;539;Aegidientorplatz;
58;1;540;Aerzen;
58;1;541;Aesculap-Platz/B311;
58;1;542;Affalter;
58;1;543;Affalterried;
58;1;544;Affing;
58;1;545;Afrastraße;
58;1;546;Afrikanische Straße;
58;1;547;Agathe-Lasch-Weg;
58;1;548;Agathenburg;
58;1;549;Agathenburg/B73;
58;1;550;Agathenburg/Buxtehuder Straße;
58;1;551;Agethorst;
58;1;552;Aggertal;
58;1;553;Aglasterhausen;
58;1;554;Agnesburgtunnel;
58;1;555;Agricolastraße;
58;1;556;Aham;
58;1;557;Ahaus;
58;1;558;Ahaus-Alstätte;
