CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;8805;L;3;0;B404;;23421;3092;50336;;256
58;1;8806;L;3;0;B404;;3092;13448;50336;;256
58;1;8812;L;3;0;B41;;22504;12362;50342;;1
58;1;8813;L;3;0;B41;;12362;2864;50342;;262
58;1;8816;L;3;0;B42;;5680;9729;50345;;261
58;1;8817;L;3;0;B42;;13841;4201;50345;;1
58;1;8818;L;3;0;B420;;19968;8199;50346;;1
58;1;8819;L;3;0;B420;;8199;18742;50346;;262
58;1;8820;L;3;0;B421;;16738;13494;50347;;262
58;1;8821;L;3;0;B421;;13494;28334;50347;;262
58;1;8822;L;3;0;B421;;24433;16013;50347;;1
58;1;8823;L;3;0;B423;;10223;11961;50348;;265
58;1;8824;L;3;0;B423;;11961;923;50348;;496
58;1;8825;L;3;0;B426;;9017;12180;50349;;1
58;1;8828;L;3;0;B43;;27595;22387;50352;;1
58;1;8829;L;3;0;B430;;22899;18373;50353;;256
58;1;8830;L;3;0;B430;;18373;16322;50353;;256
58;1;8833;L;3;0;B432;;10428;2861;50355;;1
58;1;8834;L;3;0;B432;;2861;22837;50355;;256
58;1;8836;L;3;0;B436;;4906;15355;50357;;504
58;1;8837;L;3;0;B436;;11416;22649;50357;;258
58;1;8838;L;3;0;B437;;8338;21885;50358;;258
58;1;8840;L;3;0;B44;;16094;16523;50360;;1
58;1;8841;L;3;0;B441;;25816;28141;50361;;258
58;1;8842;L;3;0;B442;;5481;2811;50362;;258
58;1;8843;L;3;0;B443;;20169;23805;50363;;451
58;1;8844;L;3;0;B444;;9482;20209;50364;;258
58;1;8847;L;3;0;B45;;6560;17173;50366;;275
58;1;8848;L;3;0;B455;;16450;14462;50367;;275
58;1;8849;L;3;0;B455;;14462;19339;50367;;468
58;1;8850;L;3;0;B455;;8327;18537;50367;;261
58;1;8851;L;3;0;B456;;19339;26114;50368;;261
58;1;8852;L;3;0;B457;;18537;9132;50369;;261
58;1;8861;L;3;0;B466;;18985;23315;50377;;264
58;1;8864;L;3;0;B47;;26935;28091;50380;;262
58;1;8865;L;3;0;B47;;28091;3398;50380;;1
58;1;8866;L;3;0;B470;;21286;2924;50381;;291
58;1;8867;L;3;0;B470;;20205;27020;50381;;264
58;1;8868;L;3;0;B471;;12573;8601;50382;;294
58;1;8869;L;3;0;B471;;8601;19288;50382;;294
58;1;8870;L;3;0;B471;;19288;8724;50382;;548
58;1;8871;L;3;0;B471;;10197;25262;50382;;548
58;1;8872;L;3;0;B472;;16670;20218;50383;;264
58;1;8873;L;3;0;B472;;20218;2894;50383;;294
58;1;8874;L;3;0;B472;;2894;12614;50383;;294
58;1;8876;L;3;0;B474;;19573;6499;50385;;369
58;1;8877;L;3;0;B474;;6499;9632;50385;;292
58;1;8878;L;3;0;B475;;24124;26856;50386;;260
58;1;8879;L;3;0;B475;;26856;9199;50386;;1
58;1;8880;L;3;0;B475;;9199;21564;50386;;670
58;1;8883;L;3;0;B48;;2633;7200;50389;;262
58;1;8884;L;3;0;B48;;2747;3842;50389;;262
58;1;8885;L;3;0;B480;;7355;2635;50390;;272
58;1;8886;L;3;0;B480;;27839;20007;50390;;260
