CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;20244;P;1;1;;20;23597;;;4966;8435;;1;1;1;1;1;1;;;+01335120;+5247425;0;0
58;1;20245;P;1;3;;20;22564;;;4966;8435;;1;1;1;1;1;1;;;+01335540;+5247805;0;1
58;1;20246;P;1;10;;10817;6096;;;4966;8435;;1;1;1;1;1;1;;;+01334840;+5248180;0;1
58;1;20247;P;1;12;;10817;13896;12974;;4966;8435;;1;1;1;1;1;1;;;+01335705;+5248690;0;1
58;1;20248;P;1;11;;20700;15130;9900;;4966;8435;;1;1;1;1;1;1;;;+01336035;+5249045;0;1
58;1;20249;P;1;11;;20700;9297;20024;;4966;8435;;1;1;1;1;1;1;;;+01336110;+5249430;0;1
58;1;20250;P;1;11;;20700;5199;;;4966;8435;;1;1;1;1;1;1;;;+01336210;+5249780;0;1
58;1;20251;P;1;11;;20700;21309;20696;;4987;8435;;1;1;1;1;1;1;;;+01336845;+5250635;0;1
58;1;20252;P;1;11;;20700;24870;6598;4885;;8435;;1;1;1;1;1;1;;;+01337665;+5250960;0;1
58;1;20253;P;1;11;;15472;27725;;4885;;8435;;1;1;1;1;1;1;;;+01338410;+5250995;0;1
58;1;20254;P;1;11;;15472;8428;;4885;;8435;;1;1;1;1;1;1;;;+01338995;+5251040;0;1
58;1;20255;P;1;11;;9049;7864;4507;4885;;8436;;1;1;1;1;1;1;;;+01340570;+5251415;0;1
58;1;20256;P;1;11;;17694;24784;24228;4885;;8436;;1;1;1;1;1;1;;;+01340910;+5251695;0;1
58;1;20257;P;1;12;;9898;673;;4885;;8436;;1;1;1;1;1;1;;;+01341510;+5252070;0;1
58;1;20258;P;1;11;;9898;13146;672;4885;;8436;;1;1;1;1;1;1;;;+01341655;+5252210;0;1
58;1;20259;P;1;9;;13146;24809;15654;;4782;8436;;1;1;1;1;1;1;;;+01342830;+5251855;0;1
58;1;20260;P;1;11;;13146;24831;8350;;4782;8436;;1;1;1;1;1;1;;;+01344070;+5251710;0;1
58;1;20261;P;1;11;;13146;26877;20294;;4782;8436;;1;1;1;1;1;1;;;+01345410;+5251580;0;1
58;1;20262;P;1;11;;8143;10158;17581;;4863;8436;;1;1;1;1;1;1;;;+01347705;+5251350;0;1
58;1;20263;P;1;11;;822;1297;21634;;4781;8436;;1;1;1;1;1;1;;;+01351895;+5250970;0;1
58;1;20264;P;1;12;;822;17552;818;;4877;8436;;1;1;1;1;1;1;;;+01354385;+5250980;0;1
58;1;20265;P;1;11;;818;14483;4056;;4732;8437;;1;1;1;1;1;1;;;+01356150;+5250865;0;1
58;1;20266;P;1;10;;827;5372;6155;;32521;8437;;1;1;1;1;1;1;;;+01358160;+5250515;0;1
58;1;20267;P;1;11;;832;12091;12246;;4873;8437;;1;1;1;1;1;1;;;+01361345;+5250480;0;1
58;1;20269;P;1;10;;;5604;;1058;;8437;;1;1;1;1;1;1;;;+01364630;+5249910;0;0
58;1;20270;P;1;3;;;3590;;2604;;8437;;1;1;1;1;1;1;;;+01375060;+5249815;0;0
58;1;20272;P;1;10;;19671;23768;10031;2389;;8437;;1;1;1;1;1;1;;;+01437535;+5254420;0;0
58;1;20273;P;1;10;;;16548;;1863;;8437;;1;1;1;1;1;1;;;+01455240;+5255725;0;0
58;1;20274;P;3;14;;;14549;;1734;;8437;;0;1;1;0;1;1;;;+01462870;+5257900;0;0
58;1;20275;P;1;12;;6027;7231;;1187;;8438;;1;1;1;1;1;1;;;+00696840;+4940695;0;1
58;1;20276;P;1;5;141;;7231;;1187;;8438;;1;1;1;1;1;1;;;+00698970;+4941350;20278;0
58;1;20277;P;1;15;;;18587;;727;;;40907;1;1;1;1;1;1;;;+00738025;+4925695;0;0
58;1;20278;P;1;3;;10817;20482;12215;3228;;8439;;1;1;1;1;1;1;;;+00755780;+4923115;20276;0
58;1;20279;P;1;15;;;20482;;605;;8439;;1;1;1;1;1;1;;;+00759880;+4921510;0;0
58;1;20280;P;1;15;;;11559;;3228;;8439;;1;1;1;1;1;1;;;+00774970;+4920050;0;0
58;1;20281;P;1;12;;;21818;;676;;8439;;1;1;1;1;1;1;;;+00791235;+4922455;0;0
58;1;20282;P;1;12;;;1502;;676;;8439;;1;1;1;1;1;1;;;+00794650;+4920460;0;0
58;1;20284;P;1;3;;;14988;;500;;8439;;1;1;1;1;1;1;;;+00814165;+4921725;0;0
58;1;20285;P;1;3;;;28243;;428;;8439;;1;1;1;1;1;1;;;+00827400;+4903960;0;0
58;1;20286;P;1;15;;25144;18944;;482;;52534;;1;1;1;1;1;1;;;+00835615;+4900940;0;1
58;1;20287;P;1;3;;6429;13186;;482;;52534;;0;1;1;0;1;1;;;+00845035;+4900285;56111;1
58;1;20288;P;1;15;;;13189;;482;;52534;;1;1;1;1;1;1;;;+00848735;+4900675;0;0
58;1;20289;P;3;37;;;20386;;4932;;52534;;1;1;1;1;1;1;;;+00852675;+4900360;0;0
58;1;20290;P;1;3;;;20402;;603;;52534;;1;1;1;1;1;1;;;+00865320;+4890840;0;0
58;1;20291;P;1;8;;13375;27692;;603;;52534;;1;1;1;1;1;1;;;+00868710;+4889600;0;1
58;1;20292;P;1;11;;2990;23110;;603;;52534;;1;1;1;1;1;1;;;+00870370;+4889330;0;1
58;1;20293;P;1;3;;;20400;;3946;;52535;;1;1;1;1;1;1;;;+00876555;+4891370;0;0
58;1;20294;P;3;37;;;17672;;1946;;52535;;1;1;1;1;1;1;;;+00883630;+4894790;0;0
58;1;20295;P;1;11;;;12417;;2979;;57842;;1;1;1;1;1;1;;;+00891245;+4895325;0;0
58;1;20296;P;1;3;;;24936;;3905;;57842;;1;1;1;1;1;1;;;+00912085;+4885105;0;0
58;1;20297;P;1;15;;;24933;;675;;57842;;1;1;1;1;1;1;;;+00916010;+4884065;0;0
58;1;20299;P;1;11;;11003;7785;;675;;57842;;1;1;1;1;1;1;;;+00917530;+4881995;0;1
58;1;20301;P;1;11;;17997;22000;;675;;8441;;1;1;1;1;1;1;;;+00921050;+4880545;0;1
58;1;20302;P;3;1;;25852;15627;;675;;8441;;0;0;0;0;1;1;;;+00920960;+4879900;0;1
58;1;20303;P;1;15;;25852;24927;;675;;8441;;1;1;1;1;1;1;;;+00922195;+4878925;0;1
58;1;20304;P;1;15;;25852;6278;;675;;8441;;1;1;1;1;1;1;;;+00923025;+4878505;0;1
58;1;20305;P;1;15;;25852;19335;;675;;8441;;1;1;1;1;1;1;;;+00926370;+4875085;0;1
