CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
58;1;5571;58;1;5561
58;1;5572;58;1;5547
58;1;5573;58;1;5576
58;1;5574;58;1;5555
58;1;5576;58;1;5573
58;1;5578;58;1;5586
58;1;5579;58;1;5549
58;1;5580;58;1;5544
58;1;5583;58;1;5533
58;1;5585;58;1;43642
58;1;5586;58;1;5572
58;1;5590;58;1;5301
58;1;5592;58;1;5603
58;1;5593;58;1;5596
58;1;5596;58;1;5593
58;1;5598;58;1;5599
58;1;5599;58;1;5598
58;1;5602;58;1;43648
58;1;5603;58;1;5592
58;1;5604;58;1;5612
58;1;5605;58;1;5608
58;1;5608;58;1;5605
58;1;5609;58;1;5611
58;1;5611;58;1;5609
58;1;5612;58;1;5604
58;1;5614;58;1;5615
58;1;5615;58;1;5614
58;1;5616;58;1;24604
58;1;5618;58;1;43520
58;1;5619;58;1;12622
58;1;5620;58;1;43879
58;1;5622;58;1;5623
58;1;5623;58;1;43881
58;1;5624;58;1;12624
58;1;5627;58;1;12702
58;1;5689;58;1;12036
58;1;5743;58;1;5745
58;1;5745;58;1;5743
58;1;5804;58;1;5853
58;1;5823;58;1;5836
58;1;5834;58;1;11853
58;1;5836;58;1;5823
58;1;5853;58;1;5804
58;1;5866;58;1;5975
58;1;5954;58;1;5990
58;1;5971;58;1;5972
58;1;5972;58;1;5971
58;1;5975;58;1;5866
58;1;5976;58;1;5979
58;1;5979;58;1;5976
58;1;5989;58;1;22298
58;1;5990;58;1;5954
58;1;6051;58;1;23378
58;1;6081;58;1;23380
58;1;6154;58;1;20284
58;1;6157;58;1;6158
58;1;6158;58;1;6157
58;1;6161;58;1;40543
58;1;6166;58;1;6169
58;1;6169;58;1;6166
58;1;6180;58;1;6334
58;1;6182;58;1;6321
58;1;6187;58;1;6190
58;1;6189;58;1;48842
58;1;6190;58;1;6187
58;1;6191;58;1;48450
58;1;6205;58;1;55099
58;1;6220;58;1;6189
58;1;6276;58;1;40692
58;1;6277;58;1;40583
58;1;6282;58;1;40608
58;1;6292;58;1;40778
58;1;6298;58;1;48516
58;1;6300;58;1;56400
58;1;6311;58;1;48453
58;1;6314;58;1;55230
58;1;6315;58;1;6319
58;1;6319;58;1;6315
58;1;6321;58;1;6182
58;1;6332;58;1;6333
58;1;6333;58;1;6332
58;1;6334;58;1;6180
58;1;6340;58;1;48252
58;1;6345;58;1;6346
58;1;6346;58;1;6345
58;1;6352;58;1;6353
58;1;6353;58;1;6352
58;1;6356;58;1;55033
58;1;6358;58;1;6359
58;1;6359;58;1;6358
58;1;6360;58;1;6361
58;1;6361;58;1;6360
58;1;6363;58;1;40644
